"In a closed container, when does a liquid-vapor system reach a state of dynamic equilibrium?",Equilibrium is reached when the rate of evaporation becomes equal to the rate of condensation.
"According to G.N. Lewis, a base is a species that _____ an electron pair.",donates
Why is $BF_3$ classified as a Lewis acid?,It is an electron-deficient species that can accept a lone pair of electrons.
"Term: Ionic product of water, $K_w$.","The equilibrium constant for the autoionization of water, defined as $K_w = [H^+][OH^-]$, which is $1.0 \times 10^{-14}$ at 298 K."
How is the pH of a solution defined?,"As the negative logarithm to base 10 of the hydrogen ion concentration, $pH = -\log[H^+]$."
"A solution with a pH less than 7 is _____, while a solution with a pH greater than 7 is _____.",acidic; basic
"What is the relationship between pH, pOH, and $pK_w$ at a given temperature?",$pH + pOH = pK_w$
"What is the ionization constant of a weak acid, $K_a$?","The equilibrium constant for the dissociation of a weak acid, represented as $K_a = \frac{[H^+][A^-]}{[HA]}$."
A larger value of $K_a$ indicates a _____ acid.,stronger
"The _____ is a measure of the strength of a weak base, represented by $K_b = \frac{[M^+][OH^-]}{[MOH]}$.",base ionization constant
"For any conjugate acid-base pair, what is the relationship between their ionization constants, $K_a$ and $K_b$?",Their product is equal to the ionic product of water: $K_a \times K_b = K_w$.
"Acids that have more than one ionizable proton per molecule, such as $H_2SO_4$, are known as _____ acids.",polyprotic (or polybasic)
Why is the first ionization constant ($K_{a1}$) of a polyprotic acid larger than the second ($K_{a2}$)?,It is more difficult to remove a positively charged proton from a negative ion (like $HX^-$) than from a neutral molecule (like $H_2X$) due to electrostatic forces.
"When comparing acid strength down a group in the periodic table (e.g., HF vs HCl), what is the more important factor: bond polarity or bond strength?","H-A bond strength is the more important factor; as the bond gets weaker, the acid gets stronger."
"When comparing acid strength across a row in the periodic table (e.g., $CH_4$ vs $HF$), _____ becomes the deciding factor.",H-A bond polarity (electronegativity)
What is the common ion effect?,A shift in an ionic equilibrium caused by the addition of a substance that provides an ion already present in the equilibrium.
The interaction between water and the cations/anions of a salt is called _____.,hydrolysis
"The aqueous solution of a salt formed from a strong acid and a strong base is _____, with a pH of 7.",neutral
"The pH of an aqueous solution of a salt of a weak acid and a strong base (e.g., $CH_3COONa$) is _____.",greater than 7 (basic)
"The pH of an aqueous solution of a salt of a strong acid and a weak base (e.g., $NH_4Cl$) is _____.",less than 7 (acidic)
What is a buffer solution?,A solution that resists a change in pH upon dilution or with the addition of small amounts of acid or alkali.
An acidic buffer solution typically consists of a mixture of a _____ and its salt formed with a _____.,weak acid; strong base
What is the Henderson-Hasselbalch equation for an acidic buffer?,$pH = pK_a + \log \frac{[Salt]}{[Acid]}$ or $pH = pK_a + \log \frac{[A^-]}{[HA]}$
"Salts with very low solubility, less than 0.01M, are classified as _____ soluble.",sparingly
"What is the solubility product constant, $K_{sp}$?",The equilibrium constant for a solid ionic compound dissolving in a saturated aqueous solution.
"For the sparingly soluble salt $BaSO_4$, what is the expression for its solubility product constant, $K_{sp}$?",$K_{sp} = [Ba^{2+}][SO_4^{2-}]$
"For a general salt $M_xX_y$, how is its solubility product $K_{sp}$ related to its molar solubility, S?",$K_{sp} = (xS)^x(yS)^y = x^x y^y S^{(x+y)}$
How does the common ion effect influence the solubility of a sparingly soluble salt?,The presence of a common ion decreases the solubility of the sparingly soluble salt.
